Malzahar,1,170,,"9/16/16, 7:42 PM",,"1,630"
Dr. Mundo,4,"19,569",,"9/16/16, 1:52 AM",,"2,031"
Twisted Fate,1,"1,437",,"4/10/16, 11:48 PM",,363
Ezreal,4,"15,176",,"4/10/16, 3:37 PM",,"6,424"
Kog'Maw,2,"3,352",,"3/20/16, 11:52 PM",,"2,648"
Gangplank,1,"1,458",,"3/3/16, 11:14 PM",,342
Jhin,1,238,,"2/24/16, 10:16 PM",,"1,562"
Leona,1,221,,"2/7/16, 1:00 AM",,"1,579"
Thresh,1,"1,393",,"2/6/16, 11:26 PM",,407
Caitlyn,1,"1,455",,"2/3/16, 3:26 PM",,345
Veigar,1,932,,"2/2/16, 12:25 AM",,868
Kassadin,1,932,,"11/26/15, 1:28 AM",,868
Darius,7,"62,027",,"5/21/23, 2:21 PM",Mastered,
Draven,6,"40,471",,"11/23/22, 10:10 PM",,
Vladimir,6,"31,533",,"7/25/23, 11:23 PM",,
Karthus,6,"27,437",,"4/22/23, 12:23 AM",,
Blitzcrank,4,"19,275",,"6/20/23, 9:11 PM",,"2,325"
Tryndamere,4,"16,909",,"6/18/23, 12:58 AM",,"4,691"
Jax,4,"13,517",,"4/19/23, 6:57 AM",,"8,083"
Master Yi,4,"13,069",,"7/26/23, 3:48 AM",,"8,531"
Ezreal,3,"12,499",,"4/15/23, 12:52 PM",,101
Pyke,3,"12,272",,"3/31/23, 12:08 AM",,328
Yone,3,"11,443",,"7/26/23, 6:55 PM",,"1,157"
Riven,3,"10,386",,"2/7/18, 7:01 PM",,"2,214"
Twitch,3,"6,803",,"1/6/18, 2:59 PM",,"5,797"
Urgot,3,"6,285",,"11/25/22, 6:54 PM",,"6,315"
Camille,2,"3,835",,"5/1/18, 9:38 PM",,"2,165"
Mordekaiser,2,"3,270",,"3/7/23, 10:20 PM",,"2,730"
Malzahar,2,"2,883",,"6/15/18, 8:17 PM",,"3,117"
Twisted Fate,2,"2,567",,"5/5/18, 12:29 AM",,"3,433"
Tristana,2,"2,418",,"1/14/18, 11:33 PM",,"3,582"
Veigar,1,"1,394",,"3/16/23, 11:40 PM",,406
